"transaction_id","procedure_id","trans_group_id","trans_group_ar","trans_group_en","procedure_name_ar","procedure_name_en","instance_date","property_type_id","property_type_ar","property_type_en","property_sub_type_id","property_sub_type_ar","property_sub_type_en","property_usage_ar","property_usage_en","reg_type_id","reg_type_ar","reg_type_en","area_id","area_name_ar","area_name_en","building_name_ar","building_name_en","project_number","project_name_ar","project_name_en","master_project_en","master_project_ar","nearest_landmark_ar","nearest_landmark_en","nearest_metro_ar","nearest_metro_en","nearest_mall_ar","nearest_mall_en","rooms_ar","rooms_en","has_parking","procedure_area","actual_worth","meter_sale_price","rent_value","meter_rent_price","no_of_parties_role_1","no_of_parties_role_2","no_of_parties_role_3"
"1-11-2015-5339","11","1","مبايعات","Sales","بيع","Sell","24-03-2015","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","484","ند حصة","Nadd Hessa","سافير ريزيدنس","Sapphire Residence","49","سفير ريزيدنس","SAPPHIRE RESIDENCE","Silicon Oasis","واحة السيليكون","آي إم جي وورلد أدفينتشرز","IMG World Adventures","","","","","غرفة","1 B/R","1","71.83","800000","11137.41",null,null,"1","1","0"
"1-102-2015-17104","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","16-11-2015","3","وحدة","Unit","112","غرفة فندقية","Hotel Rooms","ضيافة","Hospitality ","0","على الخارطة","Off-Plan Properties","526","الخليج التجارى","Business Bay","(داماك تاورز باي باراماونت (سي","DAMAC TOWERS BY PARAMOUNT (C)","443"," داماك تاورز من باراماونت","DAMAC TOWERS BY PARAMOUNT","Business Bay","الخليج التجاري","وسط مدينة دبي","Downtown Dubai","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","استوديو","Studio","1","46.53","1300000","27938.96",null,null,"1","1","0"
"1-11-2016-15453","11","1","مبايعات","Sales","بيع","Sell","26-12-2016","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","334","الجداف","Al Jadaf","D1","D1","623","D1","D1","Culture Village","قرية الثقافة","مطار دبي الدولي","Dubai International Airport","محطة مترو الجداف","Al Jadaf Metro Station","سيتي سنتر مردف","City Centre Mirdif","ثلاث غرف","3 B/R","1","174.85","3275000","18730.34",null,null,"1","2","0"
"1-102-2017-7485","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","27-03-2017","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","409","البرشاء جنوب الثالثة","Al Barshaa South Third","ميــراكــلز تاور","MIRACLZ TOWER","1819","ميراكلز تاور","MIRACLZ TOWER","Arjan","أرجان","موتور سيتي","Motor City","محطة مترو شرف دي جي","Sharaf Dg Metro Station","مول الإمارات","Mall of the Emirates","غرفتين","2 B/R","1","110.01","1127000","10244.52",null,null,"1","2","0"
"1-102-2017-19859","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","02-10-2017","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","447","الخيران الأولى","Al Khairan First","هاربر جيت تاور 1  ","Harbour Gate Tower 1","1818","هاربور جيت","Harbour Gate ","The Lagoons","الخيران","مطار دبي الدولي","Dubai International Airport","محطة مترو الخور","Creek Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفتين","2 B/R","1","105.99","1914888","18066.69",null,null,"1","1","0"
"1-95-2018-57","95","1","مبايعات","Sales","تسجيل حق منفعة مؤجل","Delayed Development","15-10-2018","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","484","ند حصة","Nadd Hessa","أكسس سيلفر","AXIS SILVER","1616","آكسيس سيلفر","AXIS SILVER","Silicon Oasis","واحة السيليكون","آي إم جي وورلد أدفينتشرز","IMG World Adventures","","","","","غرفة","1 B/R","1","75.89","758264","9991.62",null,null,"1","1","0"
"2-39-2020-238","39","2","رهون","Mortgages","رهن حق منفعة","Development Mortgage","19-10-2020","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","458","مجمع دبي للاستثمار الاول","Dubai Investment Park First","","",null,"","","Dubai Investment Park First","مجمع دبي للاستثمار الاول","موقع إكسبو 2020","Expo 2020 Site","محطة مترو الدانوب","DANUBE Metro Station","ابن بطوطة مول","Ibn-e-Battuta Mall","أربع غرف","4 B/R","0","971.75","2200000","2263.96",null,null,"2","0","1"
"2-13-2021-896","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","25-01-2021","4","فيلا","Villa","4","فيلا","Villa","سكني","Residential","1","العقارات القائمة","Existing Properties","434","وادي الصفا 6","Wadi Al Safa 6","","",null,"","","Arabian Ranches - Palmera - IV","المرابع العربية - بالميرا - 4","موتور سيتي","Motor City","","","","","غرفتين","2 B/R","0","180.24","1235968","6857.35",null,null,"1","1","0"
"1-102-2023-4596","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","30-01-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","350","الثنيه الخامسة","Al Thanyah Fifth","سفن سيتي جي ال تي","Seven City JLT","2065","سفن سيتي جي إل تي","SEVEN CITY JLT","Jumeirah Islands","جزر جميرا","برج العرب","Burj Al Arab","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","استوديو","Studio","1","35.67","557417","15627.05",null,null,"1","1","0"
"1-11-2023-18520","11","1","مبايعات","Sales","بيع","Sell","13-06-2023","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","343","ورسان الاولى","Al Warsan First","اي سي1-اماراتي -06","IC1-EMR-06","1288","المدينة العالمية الإماراتية","INTERNATIONAL CITY EMARATI","International City Phase 1","المدينة العالمية - المرحلة الاولى","","","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفة","1 B/R","0","69.22","350000","5056.34",null,null,"1","1","0"
"1-11-1997-31","11","1","مبايعات","Sales","بيع","Sell","10-12-1997","2","مبنى","Building",null,"","","تجاري","Commercial","1","العقارات القائمة","Existing Properties","240","بور سعيد","Port Saeed","","",null,"","","","","مطار دبي الدولي","Dubai International Airport","ديرة سيتي سنتر","Deira City Centre","مول دبي","Dubai Mall","","","0","797.85","9446800","11840.32",null,null,"1","2","0"
"2-14-2000-86","14","2","رهون","Mortgages","تعديل رهن","Modify Mortgage","05-07-2000","4","فيلا","Villa",null,"","","سكني","Residential","1","العقارات القائمة","Existing Properties","318","جميرا الثالثه","Jumeirah Third","","",null,"","","","","برج خليفة","Burj Khalifa","محطة مترو نور بنك","Noor Bank Metro Station","مول دبي","Dubai Mall","","","0","936.00","4000000","4273.50",null,null,"1","1","0"
"2-13-2008-200732","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","17-07-2008","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","350","الثنيه الخامسة","Al Thanyah Fifth","ماج 214","MAG 214",null,"","","Jumeirah Lakes Towers"," ابراج بحيرات الجميرا","برج العرب","Burj Al Arab","عقارات داماك","Damac Properties","مارينا مول","Marina Mall","غرفتين","2 B/R","1","122.82","1007103","8199.83",null,null,"1","1","0"
"1-110-2012-700","110","1","مبايعات","Sales","تسجيل إيجارة تنتهى بالتملك","Lease to Own Registration","22-05-2012","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","435","الحبيه الرابعة","Al Hebiah Fourth","اولمبيك بارك 4","OLYMPIC PARK 4","1141","أوليمبك بارك 4","OLYMPIC PARK 4","Dubai Sports City","مدينة دبي الرياضية","أكاديمية المدينة الرياضية للسباحة","Sports City Swimming Academy","محطة مترو النخيل","Nakheel Metro Station","مارينا مول","Marina Mall","غرفة","1 B/R","1","83.39","674513","8088.66",null,null,"2","2","2"
"2-13-2013-2443","13","2","رهون","Mortgages","تسجيل رهن","Mortgage Registration","22-04-2013","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","330","مرسى دبي","Marsa Dubai","المجرة-1","Al Majara 1",null,"","","Dubai Marina","دبي مارينا","برج العرب","Burj Al Arab","أبراج بحيرات جميرا","Jumeirah Lakes Towers","مارينا مول","Marina Mall","غرفتين","2 B/R","1","147.81","1600000","10824.71",null,null,"1","1","0"
"1-102-2012-5045","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","22-11-2012","3","وحدة","Unit","101","شقة فندقية","Hotel Apartment","ضيافة","Hospitality ","0","على الخارطة","Off-Plan Properties","390","برج خليفة","Burj Khalifa","The Address - The BLVD","The Address - The BLVD","1328","العنوان - بوليفارد","THE ADDRESS - THE BLVD","Burj Khalifa","برج خليفة","برج خليفة","Burj Khalifa","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","81.98","1709888","20857.38",null,null,"1","1","0"
"1-102-2008-40252","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","17-07-2009","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","522","حصيان الاولى","Hessyan First","PERSHING LUXURY BEACH RESIDENCE","PERSHING LUXURY BEACH RESIDENCE","104","بيرشينج لوكسري ريزيدنسي تاور","PERSHING LUXURY BEACH RESIDENCE TOWER","Dubai Water Front","واجهة دبي البحرية","جبل علي","Jabel Ali","محطة مترو الإمارات العربية المتحدة للصرافة","UAE Exchange Metro Station","","","ثلاث غرف","3 B/R","0","190.19","4362571","22937.96",null,null,"1","1","0"
"1-102-2014-8707","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","04-08-2014","3","وحدة","Unit","101","شقة فندقية","Hotel Apartment","ضيافة","Hospitality ","0","على الخارطة","Off-Plan Properties","390","برج خليفة","Burj Khalifa","العنوان رزيدنسز سكاي فيو 2","Address Residences Sky View 2","1338","ذا أدريس ريزيدنسي - سكاي فيو","THE ADDRESS RESIDENCE - SKY VIEW","Burj Khalifa","برج خليفة","برج خليفة","Burj Khalifa","محطة مترو بوج خليفة دبي مول","Buj Khalifa Dubai Mall Metro Station","مول دبي","Dubai Mall","ثلاث غرف","3 B/R","1","220.74","6626888","30021.24",null,null,"1","1","0"
"1-41-2015-6521","41","1","مبايعات","Sales","بيع مبدئى","Delayed Sell","19-10-2015","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","409","البرشاء جنوب الثالثة","Al Barshaa South Third","لينكولن بارك - شيفلد","Lincoln Park- Sheffield","1443","لينكولن بارك (شيفيلد)","LINCOLN PARK (SHEFFIELD)","Arjan","أرجان","موتور سيتي","Motor City","محطة مترو شرف دي جي","Sharaf Dg Metro Station","مول الإمارات","Mall of the Emirates","استوديو","Studio","1","56.58","609030","10764.05",null,null,"1","1","0"
"1-102-2017-11428","102","1","مبايعات","Sales","بيع - تسجيل مبدئى","Sell - Pre registration","31-05-2017","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","0","على الخارطة","Off-Plan Properties","526","الخليج التجارى","Business Bay","ميرانو","MERANO","1680","برج ميرانو","MERANO TOWER","Business Bay","الخليج التجاري","وسط مدينة دبي","Downtown Dubai","محطة مترو الخليج التجاري","Business Bay Metro Station","مول دبي","Dubai Mall","غرفة","1 B/R","1","59.03","1014400","17184.48",null,null,"1","2","0"
"1-11-2018-10351","11","1","مبايعات","Sales","بيع","Sell","29-10-2018","3","وحدة","Unit","60","شقه سكنيه","Flat","سكني","Residential","1","العقارات القائمة","Existing Properties","343","ورسان الاولى","Al Warsan First","F16","F16",null,"","","International City Phase 1","المدينة العالمية - المرحلة الاولى","","","محطة مترو الراشدية","Rashidiya Metro Station","سيتي سنتر مردف","City Centre Mirdif","غرفة","1 B/R","0","67.00","360000","5373.13",null,null,"1","1","0"
